danceability,energy
0.676,0.461
0.42,0.166
0.438,0.359
0.266,0.0596
0.618,0.443
0.688,0.481
0.407,0.147
0.703,0.444
0.625,0.414
0.442,0.632
0.627,0.363
0.483,0.303
0.489,0.314
0.691,0.234
0.755,0.78
0.489,0.561
0.706,0.112
0.795,0.0841
0.625,0.414
0.717,0.32
0.703,0.444
0.678,0.351
0.407,0.147
0.572,0.454
0.796,0.667
0.755,0.454
0.62,0.309
0.633,0.429
0.62,0.309
0.62,0.309
0.62,0.309
0.62,0.309
0.593,0.455
0.296,0.206
0.296,0.206
0.296,0.206
0.409,0.153
0.501,0.0952
0.606,0.326
0.409,0.153
0.474,0.519
0.568,0.301
0.568,0.686
0.568,0.686
0.476,0.666
0.568,0.686
0.568,0.686
0.568,0.686
0.568,0.686
0.568,0.686
0.596,0.2
0.373,0.914
0.494,0.652
0.447,0.393
0.576,0.331
0.536,0.89
0.526,0.333
0.501,0.381
0.27,0.275
0.731,0.507
0.375,0.457
0.43,0.791
0.616,0.282
0.705,0.347
0.582,0.255
0.549,0.274
0.787,0.355
0.397,0.303
0.548,0.42
0.787,0.403
0.484,0.573
0.382,0.416
0.541,0.575
0.607,0.473
0.417,0.595
0.572,0.454
0.709,0.913
0.537,0.342
0.602,0.336
0.643,0.638
0.451,0.7
0.546,0.391
0.561,0.327
0.479,0.541
0.479,0.541
0.436,0.4
0.551,0.836
0.409,0.153
0.409,0.153
0.6,0.845
0.492,0.145
0.492,0.145
0.447,0.555
0.492,0.145
0.492,0.145
0.492,0.145
0.492,0.145
0.492,0.145
0.661,0.937
0.603,0.78
0.626,0.655
0.794,0.38
0.52,0.279
0.545,0.658
0.728,0.266
0.66,0.407
0.357,0.161
0.479,0.154
0.592,0.769
0.7,0.454
0.402,0.197
0.507,0.378
0.619,0.226
0.404,0.571
0.418,0.79
0.633,0.299
0.565,0.0392
0.664,0.0755
0.585,0.303
0.65,0.271
0.534,0.213
0.456,0.386
0.409,0.234
0.502,0.53
0.496,0.117
0.585,0.724
0.582,0.253
0.637,0.14
0.672,0.623
0.422,0.272
0.47,0.801
0.564,0.864
0.521,0.495
0.616,0.81
0.615,0.812
0.478,0.305
0.479,0.541
0.587,0.767
0.514,0.569
0.646,0.836
0.57,0.711
0.678,0.199
0.589,0.867
0.626,0.926
0.686,0.556
0.56,0.832
0.619,0.793
0.56,0.278
0.595,0.805
0.438,0.827
0.582,0.375
0.453,0.295
0.636,0.625
0.639,0.201
0.69,0.423
0.599,0.349
0.519,0.264
0.643,0.569
0.573,0.624
0.654,0.821
0.426,0.399
0.505,0.21
0.693,0.43
0.739,0.287
0.453,0.146
0.606,0.54
0.595,0.646
0.736,0.145
0.479,0.126
0.583,0.786
0.549,0.291
0.418,0.489
0.498,0.12
0.769,0.135
0.434,0.469
0.452,0.198
0.544,0.5
0.662,0.187
0.497,0.13
0.528,0.291
0.461,0.522
